"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000279457",29.9135794276176,0.179257084948738,0.324821548791397,0.551863278824085,0.58104202889553,0.686554752013334,NA,NA
"ENSG00000187634",183.229649921658,0.426457118022821,0.140265816997144,3.04034958161976,0.00236303694375564,0.00515718028684594,"SAMD11","148398"
"ENSG00000188976",1651.18807619944,-0.692720464394504,0.0548465489293881,-12.6301559153037,1.43992647394509e-36,1.76552715249607e-35,"NOC2L","26155"
"ENSG00000187961",209.637938486147,0.729755610699823,0.131859897512069,5.53432563249967,3.1242806270759e-08,1.13412925817351e-07,"KLHL17","339451"
"ENSG00000187583",47.2551232589398,0.0405765263420408,0.271892794749528,0.149237225574222,0.881366447120376,0.919030613956424,"PLEKHN1","84069"
"ENSG00000187642",11.9797501642461,0.542810487347266,0.521559820535907,1.04074444766379,0.297994168623494,0.403379301967646,"PERM1","84808"
"ENSG00000188290",108.922127976716,2.0570638337918,0.19690530703769,10.4469699915099,1.51281377727927e-25,1.30537760243219e-24,"HES4","57801"
"ENSG00000187608",350.71686801731,0.257383686520374,0.102726560342092,2.50552228813322,0.0122270691881938,0.0237452293708789,"ISG15","9636"
"ENSG00000188157",9128.439421961,0.389908792029732,0.0467163511345566,8.34630236652434,7.04333483344654e-17,4.2197019827372e-16,"AGRN","375790"
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RNF223","401934"
"ENSG00000131591",156.479083393338,0.196592348777887,0.14561091304443,1.35012098109639,0.1769771793422,0.2617450746759,"C1orf159","54991"
"ENSG00000186891",0.732334495547826,-0.311843021926386,2.29432943625118,-0.135919025837859,0.891885294610104,0.926394070897435,"TNFRSF18","8784"
"ENSG00000186827",0.774563363005392,1.72578824100941,2.02722221902671,0.851306889206245,0.394598898977146,0.508934853690835,"TNFRSF4","7293"
"ENSG00000078808",4600.33028600984,0.386628861034375,0.048332447217865,7.99936447024074,1.25063020419338e-15,7.08914921130849e-15,"SDF4","51150"
"ENSG00000176022",903.070312267806,0.425079343039832,0.0745779895970819,5.69979621784367,1.19950727498806e-08,4.50174133403973e-08,"B3GALT6","126792"
"ENSG00000184163",4.52322235705183,0.328034741142005,0.84400657408599,0.388663727527535,0.697524918007681,0.78329333807977,"C1QTNF12","388581"
"ENSG00000160087",1226.36024604796,0.430326257563613,0.0633109455213218,6.79702781280826,1.06799486164515e-11,4.92956726305235e-11,"UBE2J2","118424"
"ENSG00000162572",31.7776688322821,0.810145938862621,0.320430188556477,2.52830715642708,0.011461403141099,0.02239106037825,"SCNN1D","6339"
"ENSG00000131584",1067.09073092054,0.582146204792219,0.0670714230482626,8.67949684582247,3.97523493752185e-18,2.52857196845909e-17,"ACAP3","116983"
"ENSG00000169972",227.376248317606,0.0839217293960396,0.121698880287484,0.689585057790139,0.490455166633088,0.602963650804008,"PUSL1","126789"
"ENSG00000127054",922.15171909075,-0.209496874645382,0.0727879742464652,-2.87817976546526,0.00399977142459405,0.0084308683145977,"INTS11","54973"
"ENSG00000224051",299.70151191683,-0.21641108139655,0.10876145170511,-1.98977742576769,0.0466154592197004,0.0804283116342712,"CPTP","80772"
"ENSG00000169962",5.84091826930333,0.0582910469916439,0.735677160905383,0.0792345475560316,0.936846065987131,0.957107813705693,"TAS1R3","83756"
"ENSG00000107404",996.838159268406,-0.144513678266339,0.0649756467143998,-2.22412066018439,0.0261403272107757,0.047530228992483,"DVL1","1855"
